AAH,1020,001,Survey of Art & Arch Hist II,47%,39%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann"
AAH,2060,001,Art History and Theory II,75%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V"
ACCT,2010,001,Financial Accounting Conc,18%,18%,28%,18%,13%,0%,0%,8%,0%,0%,0%,0%,"Schlicksup, Peter James"
ACCT,2010,002,Financial Accounting Conc,26%,26%,28%,14%,2%,0%,0%,4%,0%,0%,0%,0%,"Schlicksup, Peter James"
ACCT,2010,003,Financial Accounting Conc,35%,30%,15%,18%,3%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,004,Financial Accounting Conc,41%,21%,23%,5%,5%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,005,Financial Accounting Conc,47%,22%,9%,16%,3%,0%,0%,3%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,006,Financial Accounting Conc,26%,37%,24%,5%,0%,0%,0%,8%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,007,Financial Accounting Conc,36%,36%,21%,5%,0%,0%,0%,2%,0%,0%,0%,0%,"Tegen, Charles A"
ACCT,2010,008,Financial Accounting Conc,37%,27%,29%,5%,0%,0%,0%,2%,0%,0%,0%,0%,"Tegen, Charles A"
ACCT,2010,009,Financial Accounting Conc,27%,41%,15%,5%,7%,0%,0%,5%,0%,0%,0%,0%,"McMillan, Jeffrey J"
ACCT,2010,010,Financial Accounting Conc,21%,33%,18%,5%,8%,0%,0%,15%,0%,0%,0%,0%,"McMillan, Jeffrey J"
ACCT,2010,011,Financial Accounting Conc,18%,20%,23%,20%,13%,0%,0%,8%,0%,0%,0%,0%,"Maiberger, Philip A"
ACCT,2010,012,Financial Accounting Conc,18%,27%,21%,9%,11%,0%,0%,14%,0%,0%,0%,0%,"Maiberger, Philip A"
ACCT,2010,013,Financial Accounting Conc,28%,37%,32%,0%,2%,0%,0%,2%,0%,0%,0%,0%,"Martin, Caleb Jay"
ACCT,2010,105,Fin Acct Concepts (HON),43%,43%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,"Grant, Julie H"
ACCT,2010,401,Financial Accounting Conc,29%,35%,21%,6%,5%,0%,0%,5%,0%,0%,0%,0%,"Madray, J Russell"
ACCT,2010,402,Financial Accounting Conc,21%,36%,31%,7%,4%,0%,0%,1%,0%,0%,0%,0%,"McCorkle, Emily Suzanne"
ACCT,2010,403,Financial Accounting Conc,23%,26%,25%,15%,3%,0%,0%,9%,0%,0%,0%,0%,"McCorkle, Emily Suzanne"
ACCT,2010,404,Financial Accounting Conc,19%,28%,26%,7%,3%,0%,0%,16%,0%,0%,0%,0%,"Madray, J Russell"
ACCT,2010,405,Financial Accounting Conc,20%,29%,30%,6%,5%,0%,0%,9%,2%,0%,0%,0%,"Madray, J Russell"
ACCT,2020,001,Managerial Accounting Co,23%,27%,35%,6%,8%,0%,0%,2%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,2020,002,Managerial Accounting Co,16%,40%,24%,11%,6%,0%,0%,2%,0%,0%,0%,0%,"Garrison J, David Walter"
ACCT,2020,003,Managerial Accounting Co,33%,38%,18%,9%,2%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David Walter"
ACCT,2020,004,Managerial Accounting Co,25%,40%,20%,8%,0%,0%,0%,3%,5%,0%,0%,0%,"Garrison J, David Walter"
ACCT,2020,005,Managerial Accounting Co,23%,35%,20%,23%,0%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David Walter"
ACCT,2020,006,Managerial Accounting Co,22%,33%,29%,12%,0%,0%,0%,4%,0%,0%,0%,0%,"Hawkins, James Craig"
ACCT,2020,007,Managerial Accounting Co,28%,30%,25%,13%,3%,0%,0%,3%,0%,0%,0%,0%,"Hawkins, James Craig"
ACCT,2020,008,Managerial Accounting Co,41%,18%,28%,8%,0%,0%,0%,5%,0%,0%,0%,0%,"Hawkins, James Craig"
ACCT,2020,400,Managerial Accounting Co,23%,42%,28%,3%,0%,0%,0%,3%,0%,0%,0%,0%,"McCorkle, Emily Suzanne"
ACCT,2020,401,Managerial Accounting Co,19%,38%,27%,11%,4%,0%,0%,1%,0%,0%,0%,0%,"McCorkle, Emily Suzanne"
ACCT,3030,001,Cost Accounting,18%,43%,30%,3%,2%,0%,0%,3%,0%,0%,0%,0%,"Garrett, Jace B"
ACCT,3030,002,Cost Accounting,28%,41%,25%,3%,1%,0%,0%,3%,0%,0%,0%,0%,"Garrett, Jace B"
ACCT,3030,003,Cost Accounting,41%,28%,20%,7%,3%,0%,0%,2%,0%,0%,0%,0%,"Weaver, Andy P"
ACCT,3030,004,Cost Accounting,34%,31%,16%,11%,2%,0%,0%,5%,0%,0%,0%,0%,"Weaver, Andy P"
ACCT,3030,005,Cost Accounting,31%,32%,22%,4%,7%,0%,0%,4%,0%,0%,0%,0%,"Weaver, Andy P"
ACCT,3030,006,Cost Accounting,32%,26%,27%,5%,4%,0%,0%,5%,0%,0%,0%,0%,"Weaver, Andy P"
ACCT,3110,001,Intermediate Financial Acc,3%,14%,27%,16%,19%,0%,0%,22%,0%,0%,0%,0%,"Maiberger, Philip A"
ACCT,3110,002,Intermediate Financial Acc,5%,44%,28%,13%,5%,0%,0%,5%,0%,0%,0%,0%,"Maiberger, Philip A"
ACCT,3110,003,Intermediate Financial Acc,21%,31%,40%,2%,0%,0%,0%,5%,0%,0%,0%,0%,"Philo, Annieka C"
ACCT,3110,004,Intermediate Financial Acc,38%,33%,28%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Philo, Annieka C"
ACCT,3110,005,Intermediate Financial Acc,29%,31%,31%,7%,0%,0%,0%,2%,0%,0%,0%,0%,"Philo, Annieka C"
ACCT,3110,006,Intermediate Financial Acc,29%,24%,26%,10%,2%,0%,0%,10%,0%,0%,0%,0%,"Philo, Annieka C"
ACCT,3110,007,Intermediate Financial Acc,24%,18%,32%,11%,11%,0%,0%,5%,0%,0%,0%,0%,"Ledbetter, John Howard"
ACCT,3110,008,Intermediate Financial Acc,21%,19%,36%,7%,14%,0%,0%,2%,0%,0%,0%,0%,"Ledbetter, John Howard"
ACCT,3110,009,Intermediate Financial Acc,15%,15%,31%,10%,21%,0%,0%,8%,0%,0%,0%,0%,"Hawkins, Erin Michelle"
ACCT,3110,010,Intermediate Financial Acc,17%,44%,19%,6%,8%,0%,0%,6%,0%,0%,0%,0%,"Hawkins, Erin Michelle"
ACCT,3120,001,Intermediate Financial Acc,34%,40%,18%,6%,0%,0%,0%,2%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,3120,002,Intermediate Financial Acc,32%,53%,10%,2%,2%,0%,0%,2%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,3120,004,Intermediate Financial Acc,53%,35%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,005,Intermediate Financial Acc,42%,26%,29%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,006,Intermediate Financial Acc,50%,24%,21%,0%,0%,0%,0%,5%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,007,Intermediate Financial Acc,50%,38%,6%,0%,3%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,008,Intermediate Financial Acc,24%,45%,26%,0%,0%,0%,0%,5%,0%,0%,0%,0%,"Vinson, Jeremy Michael"
ACCT,3120,009,Intermediate Financial Acc,29%,38%,29%,0%,0%,0%,0%,5%,0%,0%,0%,0%,"Vinson, Jeremy Michael"
ACCT,3120,105,Intermed Fin Acct II (HON),88%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3130,001,Analytics for Acct Dec Mak,29%,59%,9%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion"
ACCT,3130,002,Analytics for Acct Dec Mak,35%,47%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly"
ACCT,3130,003,Analytics for Acct Dec Mak,49%,37%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion"
ACCT,3130,004,Analytics for Acct Dec Mak,28%,38%,28%,3%,0%,0%,0%,3%,0%,0%,0%,0%,"Mammadov, Babak"
ACCT,3130,005,Analytics for Acct Dec Mak,15%,44%,35%,3%,3%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak"
ACCT,3130,006,Analytics for Acct Dec Mak,29%,54%,4%,0%,4%,0%,0%,8%,0%,0%,0%,0%,"Barnes, James D"
